;;Consumer price index;Change on previous year's month;Change on previous month
2012;July;91.7;1,8;0,3
2012;August;92.1;2,1;0,4
2012;September;92.2;2,1;0,1
2012;October;92.2;2;-
2012;November;92.2;1,9;-
2012;December;92.5;2;0,3
2013;January;92.1;1,7;-0,4
2013;February;92.6;1,5;0,5
2013;March;93.0;1,4;0,4
2013;April;92.6;1,1;-0,4
2013;May;93.0;1,6;0,4
2013;June;93.1;1,9;0,1
2013;July;93.5;2;0,4
2013;August;93.5;1,5;-
2013;September;93.5;1,4;-
2013;October;93.3;1,2;-0,2
2013;November;93.5;1,4;0,2
2013;December;93.9;1,5;0,4
2014;January;93.3;1,3;-0,6
2014;February;93.8;1,3;0,5
2014;March;94.0;1,1;0,2
2014;April;93.9;1,4;-0,1
2014;May;93.8;0,9;-0,1
2014;June;94.0;1;0,2
2014;July;94.3;0,9;0,3
2014;August;94.3;0,9;-
2014;September;94.3;0,9;-
2014;October;94.1;0,9;-0,2
2014;November;94.1;0,6;-
2014;December;94.0;0,1;-0,1
2015;January;93.1;-0,2;-1
2015;February;93.8;-;0,8
2015;March;94.3;0,3;0,5
2015;April;94.7;0,9;0,4
2015;May;94.9;1,2;0,2
2015;June;94.9;1;-
2015;July;95.1;0,8;0,2
2015;August;95.0;0,7;-0,1
2015;September;94.9;0,6;-0,1
2015;October;94.9;0,9;-
2015;November;94.3;0,2;-0,6
2015;December;94.3;0,3;-
2016;January;93.6;0,5;-0,7
2016;February;93.9;0,1;0,3
2016;March;94.5;0,2;0,6
2016;April;94.6;-0,1;0,1
2016;May;95.1;0,2;0,5
2016;June;95.2;0,3;0,1
2016;July;95.5;0,4;0,3
2016;August;95.4;0,4;-0,1
2016;September;95.5;0,6;0,1
2016;October;95.6;0,7;0,1
2016;November;95.0;0,7;-0,6
2016;December;95.6;1,4;0,6
2017;January;95.1;1,6;-0,5
2017;February;95.6;1,8;0,5
2017;March;95.8;1,4;0,2
2017;April;96.2;1,7;0,4
2017;May;96.2;1,2;-
2017;June;96.5;1,4;0,3
2017;July;96.9;1,5;0,4
2017;August;97.0;1,7;0,1
2017;September;97.0;1,6;-
2017;October;96.9;1,4;-0,1
2017;November;96.5;1,6;-0,4
2017;December;96.9;1,4;0,4
2018;January;96.4;1,4;-0,5
2018;February;96.7;1,2;0,3
2018;March;97.2;1,5;0,5
2018;April;97.5;1,4;0,3
2018;May;98.2;2,1;0,7
2018;June;98.3;1,9;0,1
2018;July;98.7;1,9;0,4
2018;August;98.8;1,9;0,1
2018;September;99.0;2,1;0,2
2018;October;99.1;2,3;0,1
2018;November;98.5;2,1;-0,6
2018;December;98.5;1,7;-
2019;January;97.7;1,3;-0,8
2019;February;98.1;1,4;0,4
2019;March;98.5;1,3;0,4
2019;April;99.4;1,9;0,9
2019;May;99.6;1,4;0,2
2019;June;99.9;1,6;0,3
2019;July;100.3;1,6;0,4
2019;August;100.2;1,4;-0,1
2019;September;100.2;1,2;-
2019;October;100.2;1,1;-
2019;November;99.5;1;-0,7
2019;December;100.0;1,5;0,5
2020;January;99.8;2,1;-0,2
2020;February;100.1;2;0,3
2020;March;100.3;1,8;0,2
2020;April;100.4;1;0,1
2020;May;100.4;0,8;-
2020;June;100.5;0,6;0,1
2020;July;99.7;-0,6;-0,8
2020;August;99.7;-0,5;-
2020;September;99.7;-0,5;-
2020;October;99.9;-0,3;0,2
2020;November;99.7;0,2;-0,2
2020;December;99.8;-0,2;0,1
2021;January;101.0;1,2;1,2
2021;February;101.6;1,5;0,6
2021;March;102.1;1,8;0,5
2021;April;102.4;2;0,3
2021;May;102.6;2,2;0,2
2021;June;102.9;2,4;0,3
2021;July;103.4;3,7;0,5
2021;August;103.5;3,8;0,1
2021;September;103.8;4,1;0,3
2021;October;104.3;4,4;0,5
2021;November;104.5;4,8;0,2
2021;December;104.7;4,9;0,2
2022;January;105.2;4,2;0,5
2022;February;106.0;4,3;0,8
2022;March;108.1;5,9;2
